"Customer Shipment Date","Merchant SKU","FNSKU","ASIN","FC","Quantity","Amazon Order Id","Currency","Product Amount","Shipping Amount","Gift Amount","Shipment To City","Shipment To State","Shipment To Postal Code"
"2024-04-28T15:17:11+05:30","3O-7GIY-GAIA","X0017F0ZZ5","1949395839","CJB1","1","408-9153770-0873916","INR","474.05","0.00","0.00","PALAKKAD","KERALA","678013"
"2024-04-28T15:16:55+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","BLR8","1","402-0179797-4071508","INR","1999.00","40.00","0.00","BENGALURU","KARNATAKA","560099"
"2024-04-28T14:06:09+05:30","CO-QCPV-SEI3","X001CLRRT1","1636510310","BLR8","1","402-9782560-9221921","INR","474.05","40.00","0.00","BENGALURU","KARNATAKA","562125"
"2024-04-28T13:41:15+05:30","3O-7GIY-GAIA","X0017F0ZZ5","1949395839","BLR7","1","403-3174820-8152300","INR","474.05","40.00","0.00","DAVANGERE","KARNATAKA","577005"
"2024-04-28T13:07:19+05:30","CO-QCPV-SEI3","X001CLRRT1","1636510310","DEL4","1","406-1777950-9625151","INR","474.05","40.00","0.00","NORTH GUWAHATI","ASSAM","781031"
"2024-04-28T13:02:13+05:30","D8-RLCZ-ZOUR","X001QVXAQV","1636511589","LKO1","1","404-5773241-2438736","INR","616.55","40.00","0.00","Aurangabad","UTTAR PRADESH","203401"
"2024-04-28T12:34:15+05:30","1M-WO07-G93U","X0017PANTN","B08DXQXXY7","DEL4","1","408-2547849-1199509","INR","474.05","40.00","0.00","NEW DELHI","DELHI","110014"
"2024-04-28T12:26:46+05:30","CO-QCPV-SEI3","X001CLRRT1","1636510310","DEL5","1","404-0697373-7652360","INR","474.05","0.00","0.00","PANCHKULA","HARYANA","134109"
"2024-04-28T12:26:16+05:30","5E-PQIM-IPE5","X00181NAAP","1949395960","BLR7","1","408-6211159-4285945","INR","399.00","0.00","0.00","PALAKKAD","KERALA","678013"
"2024-04-28T10:52:16+05:30","L2-74Q5-MRU2","X001ADBDZZ","1636510051","MAA4","1","405-3359645-9227566","INR","474.05","0.00","0.00","Kolkata","WEST BENGAL","700045"
"2024-04-28T10:48:16+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","DEL4","1","402-9552881-6902751","INR","1999.00","40.00","0.00","ALIGARH","UTTAR PRADESH","202001"
"2024-04-28T09:07:13+05:30","1N-Z5TG-L8OO","X001D66I09","1636510345","CJB1","1","408-0464858-0045116","INR","474.05","0.00","0.00","PALAKKAD","KERALA","678013"
"2024-04-28T03:16:19+05:30","L2-74Q5-MRU2","X001ADBDZZ","1636510051","LKO1","1","171-6815099-6089968","INR","474.05","40.00","0.00","Budaun","UTTAR PRADESH","243601"
"2024-04-28T01:07:10+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","DEL4","1","408-8229111-4530744","INR","1999.00","99.00","0.00","JAIPUR","RAJASTHAN","302020"
"2024-04-28T00:49:33+05:30","15-KVM1-4SWU","X00176YALT","1949395774","PNQ3","1","171-7749342-7261115","INR","474.05","40.00","0.00","AURANGABAD","MAHARASHTRA","431001"
"2024-04-28T00:35:16+05:30","8F-XEKV-7H28","X001FQJZO3","1636510450","BLR8","1","405-0131768-4893978","INR","979.00","0.00","0.00","HYDERABAD","TELANGANA","500059"
"2024-04-28T00:32:10+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","BOM5","1","403-1806243-3075550","INR","1999.00","0.00","0.00","Vashi","MH","400703"
"2024-04-27T23:29:13+05:30","15-KVM1-4SWU","X00176YALT","1949395774","BLR7","1","407-2206673-1573113","INR","474.05","0.00","0.00","ERNAKULAM","KERALA","682017"
"2024-04-27T23:15:15+05:30","1T-VT5B-1S8D","X001QW0E1T","1636511597","BOM5","1","408-7879236-1482757","INR","616.55","0.00","0.00","Mumbai","MAHARASHTRA","400049"
"2024-04-27T22:49:11+05:30","D8-RLCZ-ZOUR","X001QVXAQV","1636511589","BLR8","1","406-0564562-8325134","INR","616.55","0.00","0.00","BENGALURU","KARNATAKA","560067"
"2024-04-27T22:07:09+05:30","71-WO4G-XF3U","X001M2Z1P7","1636510973","PNQ3","1","403-6457899-2842721","INR","399.00","0.00","0.00","BENGALURU","KARNATAKA","560035"
"2024-04-27T22:02:23+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","ATX1","1","404-9684104-1383531","INR","1999.00","40.00","0.00","BARARA","HARYANA","133201"
"2024-04-27T20:36:27+05:30","71-WO4G-XF3U","X001M2Z1P7","1636510973","PNQ3","1","404-2944369-9929164","INR","399.00","0.00","0.00","PUNE","MAHARASHTRA","411046"
"2024-04-27T20:31:36+05:30","1T-VT5B-1S8D","X001QW0E1T","1636511597","BLR7","1","406-0564562-8325134","INR","616.55","0.00","0.00","BENGALURU","KARNATAKA","560067"
"2024-04-27T20:30:18+05:30","TI-UGI2-MRSG","X001AXM9YJ","1636510027","BOM7","1","405-6264367-2777139","INR","399.00","0.00","0.00","Thane (w)","Maharashtra","400615"
"2024-04-27T17:46:12+05:30","CO-QCPV-SEI3","X001CLRRT1","1636510310","BLR8","1","407-8807221-1897905","INR","474.05","0.00","0.00","BENGALURU","KARNATAKA","560016"
"2024-04-27T17:45:13+05:30","71-WO4G-XF3U","X001M2Z1P7","1636510973","BLR8","1","402-1026234-1823551","INR","399.00","0.00","0.00","BENGALURU","KARNATAKA","560098"
"2024-04-27T17:17:13+05:30","15-KVM1-4SWU","X00176YALT","1949395774","BLR7","1","407-1801516-5064351","INR","474.05","0.00","0.00","BENGALURU","KARNATAKA","560061"
"2024-04-27T17:12:22+05:30","FN-3LTG-MUJQ","X001Q7HU43","1636510744","HYD8","1","408-2911516-5665164","INR","399.00","40.00","0.00","NEW DELHI","DELHI","110075"
