Pincode,Latitude,Longitude
411041,18.4407091,73.8151309
452001,22.6993505,75.9165398
452003,22.7280664,75.8729196
411042,18.4957122,73.8240512
411045,18.5649287,73.7807329
411046,18.4529498,73.8492431
751006,20.2695299,85.8502489
411048,18.4693707,73.8913146
751010,20.299541,85.8597064
452010,22.7533437,75.8916348
411051,18.4762955,73.8230006
411052,18.497056,73.8167753
751014,20.2529156,85.8429383
751019,20.2412854,85.7836442
452015,22.7223895,75.8069972
751020,20.2414415,85.8016041
411057,18.5901264,73.7377576
452018,22.7298544,75.8864929
411058,18.485754,73.8005725
452020,22.6381909,75.8952339
411061,18.5931586,73.817914
411062,18.6776504,73.8239445
411060,18.4640516,73.9143087
751024,20.3524578,85.8220325
243122,28.3852414,79.4307099
251316,29.4013895,77.9485779
501203,17.478197,78.0401575
583123,15.1956827,76.6737429
382421,23.1714878,72.6131877
382424,23.112878,72.5896791
382430,23.027235,72.7169018
284128,25.4598708,78.6141426
641005,11.013687,77.0153269
501218,17.2533972,78.3598714
620004,10.7789357,78.7217946
620006,10.8558506,78.6929548
620007,10.7450837,78.71642
620008,10.8163848,78.6995241
689643,9.2933822,76.7312925
505326,18.8245744,78.719301
505327,18.7923397,78.9236194
689650,9.344797,76.7467537
845301,25.7210698,85.5883281
620021,10.771358,78.6841616
845305,26.7028419,84.9154113
382470,23.1133194,72.548903
841226,26.2371951,84.3603827
362001,21.5141953,70.4842131
382481,23.0865722,72.5505894
575002,12.8754837,74.8536562
575003,12.8803914,74.8406866
575004,12.8894157,74.8508739
575005,12.9019137,74.9152117
575006,12.8920525,74.8346775
575007,12.8610125,74.8901592
636453,11.825607,77.9395554
575015,12.9237654,74.8543377
587313,16.3346729,75.2754316
501301,17.4650036,78.6580041
403001,15.4966558,73.8221821
190018,34.0832284,74.7683658
190024,47.0473933,29.3863606
768028,21.3427862,83.6119799
415311,17.2794017,74.53284
624208,10.1648333,77.85285
530001,17.7351389,83.3121653
530004,47.0473933,29.3863606
636501,11.6981825,77.8716053
530007,17.7467469,83.2646728
530016,17.7331934,83.3023965
530017,17.7354991,83.331907
530018,17.7430962,83.2515283
530020,17.7185069,83.3032805
804453,25.556184,85.1237543
140901,30.8095627,76.7458529
530026,17.6863275,83.2103621
501359,17.1551223,78.4264568
530041,17.8059016,83.3556547
530045,17.7851424,83.3696664
530046,17.6946734,83.1629536
530047,17.7667246,83.2163218
530048,17.8357164,83.3630639
530051,17.8011507,83.2099783
485001,24.5830471,80.8505279
456331,23.4260547,75.4064082
362130,21.3509508,70.7470604
505490,47.0473933,29.3863606
612001,10.9667158,79.3803182
493221,21.3266082,81.6426329
313001,24.5853797,73.7096197
313003,24.5870107,73.7812889
415404,17.1250297,74.18915
534201,16.5415917,81.5333603
440001,21.1539568,79.0770323
440002,21.1427318,79.0832631
440003,21.1345331,79.095201
440008,21.137748,79.1341249
141001,30.9032894,75.8287184
141002,30.9023541,75.823837
141003,30.877718,75.8654898
440010,21.1332451,79.0660909
